gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1030746754	af7d2594-6d4e-47e9-9f30-b7ebb3110f7b	4045664	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		CN	内良公社邓屋	江西	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	25.395202	114.358084							1965-01-01T00:00:00			1965	5332927	5332927	PRESERVED_SPECIMEN	LBG		eb98c177-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		聂敏祥,户向恒,宋学德,余水良			2021-03-30T12:25:08.290Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1030746753	af7d2594-6d4e-47e9-9f30-b7ebb3110f7b	4045708	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		CN	大陇公社沅头大队	江西	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	26.587146	114.100817							1965-01-01T00:00:00			1965	5332927	5332927	PRESERVED_SPECIMEN	LBG		eb98ae15-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		赖书绅			2021-03-30T12:25:08.289Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1030746751	af7d2594-6d4e-47e9-9f30-b7ebb3110f7b	4045709	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		CN	大陇公社沅头大队	江西	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	26.587146	114.100817							1965-01-01T00:00:00			1965	5332927	5332927	PRESERVED_SPECIMEN	LBG		eb98ada7-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		赖书绅			2021-03-30T12:25:08.290Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1030746750	af7d2594-6d4e-47e9-9f30-b7ebb3110f7b	4045672	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		CN	墩头乡九连山冷水坑	江西	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	24.742369	114.530131							1958-01-01T00:00:00			1958	5332927	5332927	PRESERVED_SPECIMEN	LBG		eb98bde0-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0					2021-03-30T12:25:08.290Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1030746748	af7d2594-6d4e-47e9-9f30-b7ebb3110f7b	4045742	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		CN	五区洽村	江西	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	27.218447	116.525727							1958-01-01T00:00:00			1958	5332927	5332927	PRESERVED_SPECIMEN	LBG		eb989ede-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		聂敏祥			2021-03-30T12:25:08.292Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1030746747	af7d2594-6d4e-47e9-9f30-b7ebb3110f7b	4045738	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		CN	伊山上凡	江西	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	29.326488	114.963104							1947-01-01T00:00:00			1947	5332927	5332927	PRESERVED_SPECIMEN	LBG		eb98a09a-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		熊耀国			2021-03-30T12:25:08.293Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1030746746	af7d2594-6d4e-47e9-9f30-b7ebb3110f7b	4045715	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		CN		江西	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	26.32496	114.514242							1965-01-01T00:00:00			1965	5332927	5332927	PRESERVED_SPECIMEN	LBG		eb98aaeb-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		赖书绅 杨如菊 黄大付			2021-03-30T12:25:08.292Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1030746744	af7d2594-6d4e-47e9-9f30-b7ebb3110f7b	4045729	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		CN	杨岐山边	江西	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	27.622868	113.854676							1951-01-01T00:00:00			1951	5332927	5332927	PRESERVED_SPECIMEN	LBG		eb98a4a4-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0					2021-03-30T12:25:08.291Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1030746741	af7d2594-6d4e-47e9-9f30-b7ebb3110f7b	4045679	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		CN	灵坛乡丫山寺	江西	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	25.395202	114.358084							1958-01-01T00:00:00			1958	5332927	5332927	PRESERVED_SPECIMEN	LBG		eb98bac3-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0					2021-03-30T12:25:08.293Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1030746740	af7d2594-6d4e-47e9-9f30-b7ebb3110f7b	4045673	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		CN	墩头乡九连山冷水坑	江西	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	24.742369	114.530131							1958-01-01T00:00:00			1958	5332927	5332927	PRESERVED_SPECIMEN	LBG		eb98bd70-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0					2021-03-30T12:25:08.293Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
